"A00","Colera"
"W313","Luogo dedicato alle attivita' sportive e all'atletica"
"W314","Strade e vie"
"W315","Luogo di commercio e servizio"
"W316","Area industriale e di costruzione"
"W317","Azienda agricola"
"W318","Altri luoghi specificati"
"W319","Luogo non specificato"
"W320","Abitazione"
"W321","Istituzione collettiva"
"W322","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W323","Luogo dedicato alle attivita' sportive e all'atletica"
"W324","Strade e vie"
"W325","Luogo di commercio e servizio"
"W326","Area industriale e di costruzione"
"W327","Azienda agricola"
"W328","Altri luoghi specificati"
"W329","Luogo non specificato"
"W330","Abitazione"
"W331","Istituzione collettiva"
"W332","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W333","Luogo dedicato alle attivita' sportive e all'atletica"
"W334","Strade e vie"
"W335","Luogo di commercio e servizio"
"W336","Area industriale e di costruzione"
"W337","Azienda agricola"
"W338","Altri luoghi specificati"
"W339","Luogo non specificato"
"W340","Abitazione"
"W341","Istituzione collettiva"
"W342","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W343","Luogo dedicato alle attivita' sportive e all'atletica"
"W344","Strade e vie"
"W345","Luogo di commercio e servizio"
"W346","Area industriale e di costruzione"
"W347","Azienda agricola"
"W348","Altri luoghi specificati"
"W349","Luogo non specificato"
"W350","Abitazione"
"W351","Istituzione collettiva"
"W352","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W353","Luogo dedicato alle attivita' sportive e all'atletica"
"W354","Strade e vie"
"W355","Luogo di commercio e servizio"
"W356","Area industriale e di costruzione"
"W357","Azienda agricola"
"W358","Altri luoghi specificati"
"W359","Luogo non specificato"
"W360","Abitazione"
"W361","Istituzione collettiva"
"W362","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W363","Luogo dedicato alle attivita' sportive e all'atletica"
"W364","Strade e vie"
"W365","Luogo di commercio e servizio"
"W366","Area industriale e di costruzione"
"W367","Azienda agricola"
"W368","Altri luoghi specificati"
"W369","Luogo non specificato"
"W370","Abitazione"
"W371","Istituzione collettiva"
"W372","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W373","Luogo dedicato alle attivita' sportive e all'atletica"
"W374","Strade e vie"
"W375","Luogo di commercio e servizio"
"W376","Area industriale e di costruzione"
"W377","Azienda agricola"
"W378","Altri luoghi specificati"
"W379","Luogo non specificato"
"W380","Abitazione"
"W381","Istituzione collettiva"
"W382","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W383","Luogo dedicato alle attivita' sportive e all'atletica"
"W384","Strade e vie"
"W385","Luogo di commercio e servizio"
"W386","Area industriale e di costruzione"
"W387","Azienda agricola"
"W388","Altri luoghi specificati"
"W389","Luogo non specificato"
"W390","Abitazione"
"W391","Istituzione collettiva"
"W392","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W393","Luogo dedicato alle attivita' sportive e all'atletica"
"W394","Strade e vie"
"W395","Luogo di commercio e servizio"
"W396","Area industriale e di costruzione"
"W397","Azienda agricola"
"W398","Altri luoghi specificati"
"W399","Luogo non specificato"
"W400","Abitazione"
"W401","Istituzione collettiva"
"W402","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W403","Luogo dedicato alle attivita' sportive e all'atletica"
"W404","Strade e vie"
"W405","Luogo di commercio e servizio"
"W406","Area industriale e di costruzione"
"W407","Azienda agricola"
"W408","Altri luoghi specificati"
"W409","Luogo non specificato"
"W410","Abitazione"
"W411","Istituzione collettiva"
"W412","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W413","Luogo dedicato alle attivita' sportive e all'atletica"
"W414","Strade e vie"
"W415","Luogo di commercio e servizio"
"W416","Area industriale e di costruzione"
"W417","Azienda agricola"
"W418","Altri luoghi specificati"
"W419","Luogo non specificato"
"W420","Abitazione"
"W421","Istituzione collettiva"
"W422","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W423","Luogo dedicato alle attivita' sportive e all'atletica"
"W424","Strade e vie"
"W425","Luogo di commercio e servizio"
"W426","Area industriale e di costruzione"
"W427","Azienda agricola"
"W428","Altri luoghi specificati"
"W429","Luogo non specificato"
"W430","Abitazione"
"W431","Istituzione collettiva"
"W432","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W433","Luogo dedicato alle attivita' sportive e all'atletica"
"W434","Strade e vie"
"W435","Luogo di commercio e servizio"
"W436","Area industriale e di costruzione"
"W437","Azienda agricola"
"W438","Altri luoghi specificati"
"W439","Luogo non specificato"
"W440","Abitazione"
"W441","Istituzione collettiva"
"W442","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W443","Luogo dedicato alle attivita' sportive e all'atletica"
"W444","Strade e vie"
"W445","Luogo di commercio e servizio"
"W446","Area industriale e di costruzione"
"W447","Azienda agricola"
"W448","Altri luoghi specificati"
"W449","Luogo non specificato"
"W450","Abitazione"
"W451","Istituzione collettiva"
"W452","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W453","Luogo dedicato alle attivita' sportive e all'atletica"
"W454","Strade e vie"
"W455","Luogo di commercio e servizio"
"W456","Area industriale e di costruzione"
"W457","Azienda agricola"
"W458","Altri luoghi specificati"
"W459","Luogo non specificato"
"W490","Abitazione"
"W491","Istituzione collettiva"
"W492","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W493","Luogo dedicato alle attivita' sportive e all'atletica"
"W494","Strade e vie"
"W495","Luogo di commercio e servizio"
"W496","Area industriale e di costruzione"
"W497","Azienda agricola"
"W498","Altri luoghi specificati"
"W499","Luogo non specificato"
"W500","Abitazione"
"W501","Istituzione collettiva"
"W502","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W503","Luogo dedicato alle attivita' sportive e all'atletica"
"W504","Strade e vie"
"W505","Luogo di commercio e servizio"
"W506","Area industriale e di costruzione"
"W507","Azienda agricola"
"W508","Altri luoghi specificati"
"W509","Luogo non specificato"
"W510","Abitazione"
"W511","Istituzione collettiva"
"W512","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W513","Luogo dedicato alle attivita' sportive e all'atletica"
"W514","Strade e vie"
"W515","Luogo di commercio e servizio"
"W516","Area industriale e di costruzione"
"W517","Azienda agricola"
"W518","Altri luoghi specificati"
"W519","Luogo non specificato"
"W520","Abitazione"
"W521","Istituzione collettiva"
"W522","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W523","Luogo dedicato alle attivita' sportive e all'atletica"
"W524","Strade e vie"
"W525","Luogo di commercio e servizio"
"W526","Area industriale e di costruzione"
"W527","Azienda agricola"
"W528","Altri luoghi specificati"
"W529","Luogo non specificato"
"W530","Abitazione"
"W531","Istituzione collettiva"
"W532","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W533","Luogo dedicato alle attivita' sportive e all'atletica"
"W534","Strade e vie"
"W535","Luogo di commercio e servizio"
"W536","Area industriale e di costruzione"
"W537","Azienda agricola"
"W538","Altri luoghi specificati"
"W539","Luogo non specificato"
"W540","Abitazione"
"W541","Istituzione collettiva"
"W542","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W543","Luogo dedicato alle attivita' sportive e all'atletica"
"W544","Strade e vie"
"W545","Luogo di commercio e servizio"
"W546","Area industriale e di costruzione"
"W547","Azienda agricola"
"W548","Altri luoghi specificati"
"W549","Luogo non specificato"
"W550","Abitazione"
"W551","Istituzione collettiva"
"W552","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W553","Luogo dedicato alle attivita' sportive e all'atletica"
"W554","Strade e vie"
"W555","Luogo di commercio e servizio"
"W556","Area industriale e di costruzione"
"W557","Azienda agricola"
"W558","Altri luoghi specificati"
"W559","Luogo non specificato"
"W560","Abitazione"
"W561","Istituzione collettiva"
"W562","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W563","Luogo dedicato alle attivita' sportive e all'atletica"
"W564","Strade e vie"
"W565","Luogo di commercio e servizio"
"W566","Area industriale e di costruzione"
"W567","Azienda agricola"
"W568","Altri luoghi specificati"
"W569","Luogo non specificato"
"W570","Abitazione"
"W571","Istituzione collettiva"
"W572","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W573","Luogo dedicato alle attivita' sportive e all'atletica"
"W574","Strade e vie"
"W575","Luogo di commercio e servizio"
"W576","Area industriale e di costruzione"
"W577","Azienda agricola"
"W578","Altri luoghi specificati"
"W579","Luogo non specificato"
"W580","Abitazione"
"W581","Istituzione collettiva"
"W582","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W583","Luogo dedicato alle attivita' sportive e all'atletica"
"W584","Strade e vie"
"W585","Luogo di commercio e servizio"
"W586","Area industriale e di costruzione"
"W587","Azienda agricola"
"W588","Altri luoghi specificati"
"W589","Luogo non specificato"
"W590","Abitazione"
"W591","Istituzione collettiva"
"W592","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W593","Luogo dedicato alle attivita' sportive e all'atletica"
"W594","Strade e vie"
"W595","Luogo di commercio e servizio"
"W596","Area industriale e di costruzione"
"W597","Azienda agricola"
"W598","Altri luoghi specificati"
"W599","Luogo non specificato"
"W600","Abitazione"
"W601","Istituzione collettiva"
"W602","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W603","Luogo dedicato alle attivita' sportive e all'atletica"
"W604","Strade e vie"
"W605","Luogo di commercio e servizio"
"W606","Area industriale e di costruzione"
"W607","Azienda agricola"
"W608","Altri luoghi specificati"
"W609","Luogo non specificato"
"W640","Abitazione"
"W641","Istituzione collettiva"
"W642","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W643","Luogo dedicato alle attivita' sportive e all'atletica"
"W644","Strade e vie"
"W645","Luogo di commercio e servizio"
"W646","Area industriale e di costruzione"
"W647","Azienda agricola"
"W648","Altri luoghi specificati"
"W649","Luogo non specificato"
"W650","Abitazione"
"W651","Istituzione collettiva"
"W652","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W653","Luogo dedicato alle attivita' sportive e all'atletica"
"W654","Strade e vie"
"W655","Luogo di commercio e servizio"
"W656","Area industriale e di costruzione"
"W657","Azienda agricola"
"W658","Altri luoghi specificati"
"W659","Luogo non specificato"
"W660","Abitazione"
"W661","Istituzione collettiva"
"W662","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W663","Luogo dedicato alle attivita' sportive e all'atletica"
"W664","Strade e vie"
"W665","Luogo di commercio e servizio"
"W666","Area industriale e di costruzione"
"W667","Azienda agricola"
"W668","Altri luoghi specificati"
"W669","Luogo non specificato"
"W670","Abitazione"
"W671","Istituzione collettiva"
"W672","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W673","Luogo dedicato alle attivita' sportive e all'atletica"
"W674","Strade e vie"
"W675","Luogo di commercio e servizio"
"W676","Area industriale e di costruzione"
"W677","Azienda agricola"
"W678","Altri luoghi specificati"
"W679","Luogo non specificato"
"W680","Abitazione"
"W681","Istituzione collettiva"
"W682","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W683","Luogo dedicato alle attivita' sportive e all'atletica"
"W684","Strade e vie"
"W685","Luogo di commercio e servizio"
"W686","Area industriale e di costruzione"
"W687","Azienda agricola"
"W688","Altri luoghi specificati"
"W689","Luogo non specificato"
"W690","Abitazione"
"W691","Istituzione collettiva"
"W692","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W693","Luogo dedicato alle attivita' sportive e all'atletica"
"W694","Strade e vie"
"W695","Luogo di commercio e servizio"
"W696","Area industriale e di costruzione"
"W697","Azienda agricola"
"W698","Altri luoghi specificati"
"W699","Luogo non specificato"
"W700","Abitazione"
"W701","Istituzione collettiva"
"W702","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W703","Luogo dedicato alle attivita' sportive e all'atletica"
"W704","Strade e vie"
"W705","Luogo di commercio e servizio"
"W706","Area industriale e di costruzione"
"W707","Azienda agricola"
"W708","Altri luoghi specificati"
"W709","Luogo non specificato"
"W730","Abitazione"
"W731","Istituzione collettiva"
"W732","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W733","Luogo dedicato alle attivita' sportive e all'atletica"
"W734","Strade e vie"
"W735","Luogo di commercio e servizio"
"W736","Area industriale e di costruzione"
"W737","Azienda agricola"
"W738","Altri luoghi specificati"
"W739","Luogo non specificato"
"W740","Abitazione"
"W741","Istituzione collettiva"
"W742","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W743","Luogo dedicato alle attivita' sportive e all'atletica"
"W744","Strade e vie"
"W745","Luogo di commercio e servizio"
"W746","Area industriale e di costruzione"
"W747","Azienda agricola"
"W748","Altri luoghi specificati"
"W749","Luogo non specificato"
"W750","Abitazione"
"W751","Istituzione collettiva"
"W752","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W753","Luogo dedicato alle attivita' sportive e all'atletica"
"W754","Strade e vie"
"W755","Luogo di commercio e servizio"
"W756","Area industriale e di costruzione"
"W757","Azienda agricola"
"W758","Altri luoghi specificati"
"W759","Luogo non specificato"
"W760","Abitazione"
"W761","Istituzione collettiva"
"W762","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W763","Luogo dedicato alle attivita' sportive e all'atletica"
"W764","Strade e vie"
"W765","Luogo di commercio e servizio"
"W766","Area industriale e di costruzione"
"W767","Azienda agricola"
"W768","Altri luoghi specificati"
"W769","Luogo non specificato"
"W770","Abitazione"
"W771","Istituzione collettiva"
"W772","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W773","Luogo dedicato alle attivita' sportive e all'atletica"
"W774","Strade e vie"
"W775","Luogo di commercio e servizio"
"W776","Area industriale e di costruzione"
"W777","Azienda agricola"
"W778","Altri luoghi specificati"
"W779","Luogo non specificato"
"W780","Abitazione"
"W781","Istituzione collettiva"
"W782","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W783","Luogo dedicato alle attivita' sportive e all'atletica"
"W784","Strade e vie"
"W785","Luogo di commercio e servizio"
"W786","Area industriale e di costruzione"
"W787","Azienda agricola"
"W788","Altri luoghi specificati"
"W789","Luogo non specificato"
"W790","Abitazione"
"W791","Istituzione collettiva"
"W792","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W793","Luogo dedicato alle attivita' sportive e all'atletica"
"W794","Strade e vie"
"W795","Luogo di commercio e servizio"
"W796","Area industriale e di costruzione"
"W797","Azienda agricola"
"W798","Altri luoghi specificati"
"W799","Luogo non specificato"
"W800","Abitazione"
"W801","Istituzione collettiva"
"W802","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W803","Luogo dedicato alle attivita' sportive e all'atletica"
"W804","Strade e vie"
"W805","Luogo di commercio e servizio"
"W806","Area industriale e di costruzione"
"W807","Azienda agricola"
"W808","Altri luoghi specificati"
"W809","Luogo non specificato"
"W810","Abitazione"
"W811","Istituzione collettiva"
"W812","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W813","Luogo dedicato alle attivita' sportive e all'atletica"
"W814","Strade e vie"
"W815","Luogo di commercio e servizio"
"W816","Area industriale e di costruzione"
"W817","Azienda agricola"
"W818","Altri luoghi specificati"
"W819","Luogo non specificato"
"W830","Abitazione"
"W831","Istituzione collettiva"
"W832","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W833","Luogo dedicato alle attivita' sportive e all'atletica"
"W834","Strade e vie"
"W835","Luogo di commercio e servizio"
"W836","Area industriale e di costruzione"
"W837","Azienda agricola"
"W838","Altri luoghi specificati"
"W839","Luogo non specificato"
"W840","Abitazione"
"W841","Istituzione collettiva"
"W842","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W843","Luogo dedicato alle attivita' sportive e all'atletica"
"W844","Strade e vie"
"W845","Luogo di commercio e servizio"
"W846","Area industriale e di costruzione"
"W847","Azienda agricola"
"W848","Altri luoghi specificati"
"W849","Luogo non specificato"
"W850","Abitazione"
"W851","Istituzione collettiva"
"W852","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W853","Luogo dedicato alle attivita' sportive e all'atletica"
"W854","Strade e vie"
"W855","Luogo di commercio e servizio"
"W856","Area industriale e di costruzione"
"W857","Azienda agricola"
"W858","Altri luoghi specificati"
"W859","Luogo non specificato"
"W860","Abitazione"
"W861","Istituzione collettiva"
"W862","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W863","Luogo dedicato alle attivita' sportive e all'atletica"
"W864","Strade e vie"
"W865","Luogo di commercio e servizio"
"W866","Area industriale e di costruzione"
"W867","Azienda agricola"
"W868","Altri luoghi specificati"
"W869","Luogo non specificato"
"W870","Abitazione"
"W871","Istituzione collettiva"
"W872","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W873","Luogo dedicato alle attivita' sportive e all'atletica"
"W874","Strade e vie"
"W875","Luogo di commercio e servizio"
"W876","Area industriale e di costruzione"
"W877","Azienda agricola"
"W878","Altri luoghi specificati"
"W879","Luogo non specificato"
"W880","Abitazione"
"W881","Istituzione collettiva"
"W882","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W883","Luogo dedicato alle attivita' sportive e all'atletica"
"W884","Strade e vie"
"W885","Luogo di commercio e servizio"
"W886","Area industriale e di costruzione"
"W887","Azienda agricola"
"W888","Altri luoghi specificati"
"W889","Luogo non specificato"
"W890","Abitazione"
"W891","Istituzione collettiva"
"W892","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W893","Luogo dedicato alle attivita' sportive e all'atletica"
"W894","Strade e vie"
"W895","Luogo di commercio e servizio"
"W896","Area industriale e di costruzione"
"W897","Azienda agricola"
"W898","Altri luoghi specificati"
"W899","Luogo non specificato"
"W900","Abitazione"
"W901","Istituzione collettiva"
"W902","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W903","Luogo dedicato alle attivita' sportive e all'atletica"
"W904","Strade e vie"
"W905","Luogo di commercio e servizio"
"W906","Area industriale e di costruzione"
"W907","Azienda agricola"
"W908","Altri luoghi specificati"
"W909","Luogo non specificato"
"W910","Abitazione"
"W911","Istituzione collettiva"
"W912","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W913","Luogo dedicato alle attivita' sportive e all'atletica"
"W914","Strade e vie"
"W915","Luogo di commercio e servizio"
"W916","Area industriale e di costruzione"
"W917","Azienda agricola"
"W918","Altri luoghi specificati"
"W919","Luogo non specificato"
"W920","Abitazione"
"W921","Istituzione collettiva"
"W922","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W923","Luogo dedicato alle attivita' sportive e all'atletica"
"W924","Strade e vie"
"W925","Luogo di commercio e servizio"
"W926","Area industriale e di costruzione"
"W927","Azienda agricola"
"W928","Altri luoghi specificati"
"W929","Luogo non specificato"
"W930","Abitazione"
"W931","Istituzione collettiva"
"W932","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W933","Luogo dedicato alle attivita' sportive e all'atletica"
"W934","Strade e vie"
"W935","Luogo di commercio e servizio"
"W936","Area industriale e di costruzione"
"W937","Azienda agricola"
"W938","Altri luoghi specificati"
"W939","Luogo non specificato"
"W940","Abitazione"
"W941","Istituzione collettiva"
"W942","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W943","Luogo dedicato alle attivita' sportive e all'atletica"
"W944","Strade e vie"
"W945","Luogo di commercio e servizio"
"W946","Area industriale e di costruzione"
"W947","Azienda agricola"
"W948","Altri luoghi specificati"
"W949","Luogo non specificato"
"W990","Abitazione"
"W991","Istituzione collettiva"
"W992","Scuola, altre istituzioni e aree della pubblica amministrazione"
"W993","Luogo dedicato alle attivita' sportive e all'atletica"
"W994","Strade e vie"
"W995","Luogo di commercio e servizio"
"W996","Area industriale e di costruzione"
"W997","Azienda agricola"
"W998","Altri luoghi specificati"
"W999","Luogo non specificato"
"X000","Abitazione"
"X001","Istituzione collettiva"
"X002","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X003","Luogo dedicato alle attivita' sportive e all'atletica"
"X004","Strade e vie"
"X005","Luogo di commercio e servizio"
"X006","Area industriale e di costruzione"
"X007","Azienda agricola"
"X008","Altri luoghi specificati"
"X009","Luogo non specificato"
"X010","Abitazione"
"X011","Istituzione collettiva"
"X012","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X013","Luogo dedicato alle attivita' sportive e all'atletica"
"X014","Strade e vie"
"X015","Luogo di commercio e servizio"
"X016","Area industriale e di costruzione"
"X017","Azienda agricola"
"X018","Altri luoghi specificati"
"X019","Luogo non specificato"
"X020","Abitazione"
"X021","Istituzione collettiva"
"X022","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X023","Luogo dedicato alle attivita' sportive e all'atletica"
"X024","Strade e vie"
"X025","Luogo di commercio e servizio"
"X026","Area industriale e di costruzione"
"X027","Azienda agricola"
"X028","Altri luoghi specificati"
"X029","Luogo non specificato"
"X030","Abitazione"
"X031","Istituzione collettiva"
"X032","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X033","Luogo dedicato alle attivita' sportive e all'atletica"
"X034","Strade e vie"
"X035","Luogo di commercio e servizio"
"X036","Area industriale e di costruzione"
"X037","Azienda agricola"
"X038","Altri luoghi specificati"
"X039","Luogo non specificato"
"X040","Abitazione"
"X041","Istituzione collettiva"
"X042","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X043","Luogo dedicato alle attivita' sportive e all'atletica"
"X044","Strade e vie"
"X045","Luogo di commercio e servizio"
"X046","Area industriale e di costruzione"
"X047","Azienda agricola"
"X048","Altri luoghi specificati"
"X049","Luogo non specificato"
"X050","Abitazione"
"X051","Istituzione collettiva"
"X052","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X053","Luogo dedicato alle attivita' sportive e all'atletica"
"X054","Strade e vie"
"X055","Luogo di commercio e servizio"
"X056","Area industriale e di costruzione"
"X057","Azienda agricola"
"X058","Altri luoghi specificati"
"X059","Luogo non specificato"
"X060","Abitazione"
"X061","Istituzione collettiva"
"X062","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X063","Luogo dedicato alle attivita' sportive e all'atletica"
"X064","Strade e vie"
"X065","Luogo di commercio e servizio"
"X066","Area industriale e di costruzione"
"X067","Azienda agricola"
"X068","Altri luoghi specificati"
"X069","Luogo non specificato"
"X080","Abitazione"
"X081","Istituzione collettiva"
"X082","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X083","Luogo dedicato alle attivita' sportive e all'atletica"
"X084","Strade e vie"
"X085","Luogo di commercio e servizio"
"X086","Area industriale e di costruzione"
"X087","Azienda agricola"
"X088","Altri luoghi specificati"
"X089","Luogo non specificato"
"X090","Abitazione"
"X091","Istituzione collettiva"
"X092","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X093","Luogo dedicato alle attivita' sportive e all'atletica"
"X094","Strade e vie"
"X095","Luogo di commercio e servizio"
"X096","Area industriale e di costruzione"
"X097","Azienda agricola"
"X098","Altri luoghi specificati"
"X099","Luogo non specificato"
"X100","Abitazione"
"X101","Istituzione collettiva"
"X102","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X103","Luogo dedicato alle attivita' sportive e all'atletica"
"X104","Strade e vie"
"X105","Luogo di commercio e servizio"
"X106","Area industriale e di costruzione"
"X107","Azienda agricola"
"X108","Altri luoghi specificati"
"X109","Luogo non specificato"
"X110","Abitazione"
"X111","Istituzione collettiva"
"X112","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X113","Luogo dedicato alle attivita' sportive e all'atletica"
"X114","Strade e vie"
"X115","Luogo di commercio e servizio"
"X116","Area industriale e di costruzione"
"X117","Azienda agricola"
"X118","Altri luoghi specificati"
"X119","Luogo non specificato"
"X120","Abitazione"
"X121","Istituzione collettiva"
"X122","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X123","Luogo dedicato alle attivita' sportive e all'atletica"
"X124","Strade e vie"
"X125","Luogo di commercio e servizio"
"X126","Area industriale e di costruzione"
"X127","Azienda agricola"
"X128","Altri luoghi specificati"
"X129","Luogo non specificato"
"X130","Abitazione"
"X131","Istituzione collettiva"
"X132","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X133","Luogo dedicato alle attivita' sportive e all'atletica"
"X134","Strade e vie"
"X135","Luogo di commercio e servizio"
"X136","Area industriale e di costruzione"
"X137","Azienda agricola"
"X138","Altri luoghi specificati"
"X139","Luogo non specificato"
"X140","Abitazione"
"X141","Istituzione collettiva"
"X142","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X143","Luogo dedicato alle attivita' sportive e all'atletica"
"X144","Strade e vie"
"X145","Luogo di commercio e servizio"
"X146","Area industriale e di costruzione"
"X147","Azienda agricola"
"X148","Altri luoghi specificati"
"X149","Luogo non specificato"
"X150","Abitazione"
"X151","Istituzione collettiva"
"X152","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X153","Luogo dedicato alle attivita' sportive e all'atletica"
"X154","Strade e vie"
"X155","Luogo di commercio e servizio"
"X156","Area industriale e di costruzione"
"X157","Azienda agricola"
"X158","Altri luoghi specificati"
"X159","Luogo non specificato"
"X160","Abitazione"
"X161","Istituzione collettiva"
"X162","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X163","Luogo dedicato alle attivita' sportive e all'atletica"
"X164","Strade e vie"
"X165","Luogo di commercio e servizio"
"X166","Area industriale e di costruzione"
"X167","Azienda agricola"
"X168","Altri luoghi specificati"
"X169","Luogo non specificato"
"X170","Abitazione"
"X171","Istituzione collettiva"
"X172","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X173","Luogo dedicato alle attivita' sportive e all'atletica"
"X174","Strade e vie"
"X175","Luogo di commercio e servizio"
"X176","Area industriale e di costruzione"
"X177","Azienda agricola"
"X178","Altri luoghi specificati"
"X179","Luogo non specificato"
"X180","Abitazione"
"X181","Istituzione collettiva"
"X182","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X183","Luogo dedicato alle attivita' sportive e all'atletica"
"X184","Strade e vie"
"X185","Luogo di commercio e servizio"
"X186","Area industriale e di costruzione"
"X187","Azienda agricola"
"X188","Altri luoghi specificati"
"X189","Luogo non specificato"
"X190","Abitazione"
"X191","Istituzione collettiva"
"X192","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X193","Luogo dedicato alle attivita' sportive e all'atletica"
"X194","Strade e vie"
"X195","Luogo di commercio e servizio"
"X196","Area industriale e di costruzione"
"X197","Azienda agricola"
"X198","Altri luoghi specificati"
"X199","Luogo non specificato"
"X200","Abitazione"
"X201","Istituzione collettiva"
"X202","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X203","Luogo dedicato alle attivita' sportive e all'atletica"
"X204","Strade e vie"
"X205","Luogo di commercio e servizio"
"X206","Area industriale e di costruzione"
"X207","Azienda agricola"
"X208","Altri luoghi specificati"
"X209","Luogo non specificato"
"X210","Abitazione"
"X211","Istituzione collettiva"
"X212","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X213","Luogo dedicato alle attivita' sportive e all'atletica"
"X214","Strade e vie"
"X215","Luogo di commercio e servizio"
"X216","Area industriale e di costruzione"
"X217","Azienda agricola"
"X218","Altri luoghi specificati"
"X219","Luogo non specificato"
"X220","Abitazione"
"X221","Istituzione collettiva"
"X222","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X223","Luogo dedicato alle attivita' sportive e all'atletica"
"X224","Strade e vie"
"X225","Luogo di commercio e servizio"
"X226","Area industriale e di costruzione"
"X227","Azienda agricola"
"X228","Altri luoghi specificati"
"X229","Luogo non specificato"
"X230","Abitazione"
"X231","Istituzione collettiva"
"X232","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X233","Luogo dedicato alle attivita' sportive e all'atletica"
"X234","Strade e vie"
"X235","Luogo di commercio e servizio"
"X236","Area industriale e di costruzione"
"X237","Azienda agricola"
"X238","Altri luoghi specificati"
"X239","Luogo non specificato"
"X240","Abitazione"
"X241","Istituzione collettiva"
"X242","Scuola, altre istituzioni e aree della pubblica amministrazione"
"X243","Luogo dedicato alle attivita' sportive e all'atletica"
"X244","Strade e vie"
"X245","Luogo di commercio e servizio"
"X246","Area industriale e di costruzione"
