"A00","Cholera"
"T381","Vergiftung: Schilddrüsenhormone und Ersatzstoffe"
"T382","Vergiftung: Thyreostatika"
"T383","Vergiftung: Insulin und orale blutzuckersenkende Arzneimittel [Antidiabetika]"
"T384","Vergiftung: Orale Kontrazeptiva"
"T385","Vergiftung: Sonstige Östrogene und Gestagene"
"T386","Vergiftung: Antigonadotropine, Antiöstrogene und Antiandrogene, anderenorts nicht klassifiziert"
"T387","Vergiftung: Androgene und verwandte Anabolika"
"T388","Vergiftung: Sonstige und nicht näher bezeichnete Hormone und synthetische Ersatzstoffe"
"T389","Vergiftung: Sonstige und nicht näher bezeichnete Hormon-Antagonisten"
"T39","Vergiftung durch nichtopioidhaltige Analgetika, Antipyretika und Antirheumatika"
"T390","Vergiftung: Salizylate"
"T391","Vergiftung: 4-Aminophenol-Derivate"
"T392","Vergiftung: Pyrazolon-Derivate"
"T393","Vergiftung: Sonstige nichtsteroidale Antiphlogistika [NSAID]"
"T394","Vergiftung: Antirheumatika, anderenorts nicht klassifiziert"
"T398","Vergiftung: Sonstige nichtopioidhaltige Analgetika und Antipyretika, anderenorts nicht klassifiziert"
"T399","Vergiftung: Nichtopioidhaltige Analgetika, Antipyretika und Antirheumatika, nicht näher bezeichnet"
"T40","Vergiftung durch Betäubungsmittel und Psychodysleptika [Halluzinogene]"
"T400","Vergiftung: Opium"
"T401","Vergiftung: Heroin"
"T402","Vergiftung: Sonstige Opioide"
"T403","Vergiftung: Methadon"
"T404","Vergiftung: Sonstige synthetische Betäubungsmittel"
"T405","Vergiftung: Kokain"
"T406","Vergiftung: Sonstige und nicht näher bezeichnete Betäubungsmittel"
"T407","Vergiftung: Cannabis (-Derivate)"
"T408","Vergiftung: Lysergid [LSD]"
"T409","Vergiftung: Sonstige und nicht näher bezeichnete Psychodysleptika [Halluzinogene]"
"T41","Vergiftung durch Anästhetika und therapeutische Gase"
"T410","Vergiftung: Inhalationsanästhetika"
"T411","Vergiftung: Intravenöse Anästhetika"
"T412","Vergiftung: Sonstige und nicht näher bezeichnete Allgemeinanästhetika"
"T413","Vergiftung: Lokalanästhetika"
"T414","Vergiftung: Anästhetikum, nicht näher bezeichnet"
"T415","Vergiftung: Therapeutische Gase"
"T42","Vergiftung durch Antiepileptika, Sedativa, Hypnotika und Antiparkinsonmittel"
"T420","Vergiftung: Hydantoin-Derivate"
"T421","Vergiftung: Iminostilbene"
"T422","Vergiftung: Succinimide und Oxazolidine"
"T423","Vergiftung: Barbiturate"
"T424","Vergiftung: Benzodiazepine"
"T425","Vergiftung: Gemischte Antiepileptika, anderenorts nicht klassifiziert"
"T426","Vergiftung: Sonstige Antiepileptika, Sedativa und Hypnotika"
"T427","Vergiftung: Antiepileptika, Sedativa und Hypnotika, nicht näher bezeichnet"
"T428","Vergiftung: Antiparkinsonmittel und andere zentral wirkende Muskelrelaxanzien"
"T43","Vergiftung durch psychotrope Substanzen, anderenorts nicht klassifiziert"
"T430","Vergiftung: Tri- und tetrazyklische Antidepressiva"
"T431","Vergiftung: Monoaminooxidase-hemmende Antidepressiva"
"T432","Vergiftung: Sonstige und nicht näher bezeichnete Antidepressiva"
"T433","Vergiftung: Antipsychotika und Neuroleptika auf Phenothiazin-Basis"
"T434","Vergiftung: Neuroleptika auf Butyrophenon- und Thioxanthen-Basis"
"T435","Vergiftung: Sonstige und nicht näher bezeichnete Antipsychotika und Neuroleptika"
"T436","Vergiftung: Psychostimulanzien mit Missbrauchspotential"
"T438","Vergiftung: Sonstige psychotrope Substanzen, anderenorts nicht klassifiziert"
"T439","Vergiftung: Psychotrope Substanz, nicht näher bezeichnet"
"T44","Vergiftung durch primär auf das autonome Nervensystem wirkende Arzneimittel"
"T440","Vergiftung: Cholinesterase-Hemmer"
"T441","Vergiftung: Sonstige Parasympathomimetika [Cholinergika]"
"T442","Vergiftung: Ganglienblocker, anderenorts nicht klassifiziert"
"T443","Vergiftung: Sonstige Parasympatholytika [Anticholinergika und Antimuskarinika] und Spasmolytika, anderenorts nicht klassifiziert"
"T444","Vergiftung: Vorwiegend Alpha-Rezeptoren-Stimulanzien, anderenorts nicht klassifiziert"
"T445","Vergiftung: Vorwiegend Beta-Rezeptoren-Stimulanzien, anderenorts nicht klassifiziert"
"T446","Vergiftung: Alpha-Rezeptorenblocker, anderenorts nicht klassifiziert"
"T447","Vergiftung: Beta-Rezeptorenblocker, anderenorts nicht klassifiziert"
"T448","Vergiftung: Zentral wirkende und adrenerge Neuronenblocker, anderenorts nicht klassifiziert"
"T449","Vergiftung: Sonstige und nicht näher bezeichnete, primär auf das autonome Nervensystem wirkende Arzneimittel"
"T45","Vergiftung durch primär systemisch und auf das Blut wirkende Mittel, anderenorts nicht klassifiziert"
"T450","Vergiftung: Antiallergika und Antiemetika"
"T451","Vergiftung: Antineoplastika und Immunsuppressiva"
"T452","Vergiftung: Vitamine, anderenorts nicht klassifiziert"
"T453","Vergiftung: Enzyme, anderenorts nicht klassifiziert"
"T454","Vergiftung: Eisen und dessen Verbindungen"
"T455","Vergiftung: Antikoagulanzien"
"T456","Vergiftung: Fibrinolytika und Fibrinolyse-Hemmer"
"T457","Vergiftung: Antikoagulanzien-Antagonisten, Vitamin K und sonstige Koagulanzien"
"T458","Vergiftung: Sonstige primär systemisch und auf das Blut wirkende Mittel, anderenorts nicht klassifiziert"
"T459","Vergiftung: Primär systemisch und auf das Blut wirkendes Mittel, nicht näher bezeichnet"
"T46","Vergiftung durch primär auf das Herz-Kreislaufsystem wirkende Mittel"
"T460","Vergiftung: Herzglykoside und Arzneimittel mit ähnlicher Wirkung"
"T461","Vergiftung: Kalziumantagonisten"
"T462","Vergiftung: Sonstige Antiarrhythmika, anderenorts nicht klassifiziert"
"T463","Vergiftung: Koronardilatatoren, anderenorts nicht klassifiziert"
"T464","Vergiftung: Angiotensin-Konversionsenzym-Hemmer [ACE-Hemmer]"
"T465","Vergiftung: Sonstige Antihypertensiva, anderenorts nicht klassifiziert"
"T466","Vergiftung: Antihyperlipidämika und Arzneimittel gegen Arteriosklerose"
"T467","Vergiftung: Periphere Vasodilatatoren"
"T468","Vergiftung: Antivarikosa, einschließlich Verödungsmitteln"
"T469","Vergiftung: Sonstige und nicht näher bezeichnete, primär auf das Herz-Kreislaufsystem wirkende Mittel"
"T47","Vergiftung durch primär auf den Magen-Darm-Trakt wirkende Mittel"
"T470","Vergiftung: Histamin-H2-Rezeptorenblocker"
"T471","Vergiftung: Sonstige Antazida und Magensekretionshemmer"
"T472","Vergiftung: Stimulierende Laxanzien"
"T473","Vergiftung: Salinische und osmotische Laxanzien"
"T474","Vergiftung: Sonstige Laxanzien"
"T475","Vergiftung: Digestiva"
"T476","Vergiftung: Antidiarrhoika"
"T477","Vergiftung: Emetika"
"T478","Vergiftung: Sonstige primär auf den Magen-Darm-Trakt wirkende Mittel"
"T479","Vergiftung: Primär auf den Magen-Darm-Trakt wirkendes Arzneimittel, nicht näher bezeichnet"
"T48","Vergiftung durch primär auf die glatte Muskulatur, die Skelettmuskulatur und das Atmungssystem wirkende Mittel"
"T480","Vergiftung: Oxytozin [Ocytocin] und ähnlich wirkende Wehenmittel"
"T481","Vergiftung: Muskelrelaxanzien [neuromuskuläre Blocker]"
"T482","Vergiftung: Sonstige und nicht näher bezeichnete, primär auf die Muskulatur wirkende Mittel"
"T483","Vergiftung: Antitussiva"
"T484","Vergiftung: Expektoranzien"
"T485","Vergiftung: Arzneimittel gegen Erkältungskrankheiten"
"T486","Vergiftung: Antiasthmatika, anderenorts nicht klassifiziert"
"T487","Vergiftung: Sonstige und nicht näher bezeichnete, primär auf das Atmungssystem wirkende Mittel"
"T49","Vergiftung durch primär auf Haut und Schleimhäute wirkende und in der Augen-, der Hals-Nasen-Ohren- und der Zahnheilkunde angewendete Mittel zur topischen Anwendung"
"T490","Vergiftung: Antimykotika, Antiinfektiva und Antiphlogistika zur lokalen Anwendung, anderenorts nicht klassifiziert"
"T491","Vergiftung: Antipruriginosa"
"T492","Vergiftung: Adstringenzien und Detergenzien zur lokalen Anwendung"
"T493","Vergiftung: Hauterweichende [Emollienzien], hautpflegende [Demulzenzien] und hautschützende Mittel"
"T494","Vergiftung: Keratolytika, Keratoplastika und sonstige Arzneimittel und Präparate zur Haarbehandlung"
"T495","Vergiftung: Ophthalmika"
"T496","Vergiftung: In der Hals-Nasen-Ohrenheilkunde angewendete Arzneimittel und Präparate"
"T497","Vergiftung: Dentalpharmaka bei topischer Anwendung"
"T498","Vergiftung: Sonstige Mittel zur topischen Anwendung"
"T499","Vergiftung: Mittel zur topischen Anwendung, nicht näher bezeichnet"
"T50","Vergiftung durch Diuretika und sonstige und nicht näher bezeichnete Arzneimittel, Drogen und biologisch aktive Substanzen"
"T500","Vergiftung: Mineralokortikoide und deren Antagonisten"
"T501","Vergiftung: Schleifendiuretika [High-ceiling-Diuretika]"
"T502","Vergiftung: Carboanhydrase-Hemmer, Benzothiadiazin-Derivate und andere Diuretika"
"T503","Vergiftung: Auf den Elektrolyt-, Kalorien- und Wasserhaushalt wirkende Mittel"
"T504","Vergiftung: Auf den Harnsäurestoffwechsel wirkende Arzneimittel"
"T505","Vergiftung: Appetitzügler"
"T506","Vergiftung: Antidote und Chelatbildner, anderenorts nicht klassifiziert"
"T507","Vergiftung: Analeptika und Opioid-Rezeptor-Antagonisten"
"T508","Vergiftung: Diagnostika"
"T509","Vergiftung: Sonstige und nicht näher bezeichnete Arzneimittel, Drogen und biologisch aktive Substanzen"
"T51","Toxische Wirkung von Alkohol"
"T510","Toxische Wirkung: Äthanol"
"T511","Toxische Wirkung: Methanol"
"T512","Toxische Wirkung: 2-Propanol"
"T513","Toxische Wirkung: Fuselöl"
"T518","Toxische Wirkung: Sonstige Alkohole"
"T519","Toxische Wirkung: Alkohol, nicht näher bezeichnet"
"T52","Toxische Wirkung von organischen Lösungsmitteln"
"T520","Toxische Wirkung: Erdölprodukte"
"T521","Toxische Wirkung: Benzol"
"T522","Toxische Wirkung: Benzol-Homologe"
"T523","Toxische Wirkung: Glykole"
"T524","Toxische Wirkung: Ketone"
"T528","Toxische Wirkung: Sonstige organische Lösungsmittel"
"T529","Toxische Wirkung: Organisches Lösungsmittel, nicht näher bezeichnet"
"T53","Toxische Wirkung von halogenierten aliphatischen und aromatischen Kohlenwasserstoffen"
"T530","Toxische Wirkung: Tetrachlorkohlenstoff"
"T531","Toxische Wirkung: Chloroform"
"T532","Toxische Wirkung: Trichloräthylen"
"T533","Toxische Wirkung: Tetrachloräthylen"
"T534","Toxische Wirkung: Dichlormethan"
"T535","Toxische Wirkung: Fluorchlorkohlenwasserstoffe [FCKW]"
"T536","Toxische Wirkung: Sonstige halogenierte aliphatische Kohlenwasserstoffe"
"T537","Toxische Wirkung: Sonstige halogenierte aromatische Kohlenwasserstoffe"
"T539","Toxische Wirkung: Halogenierte aliphatische und aromatische Kohlenwasserstoffe, nicht näher bezeichnet"
"T54","Toxische Wirkung von ätzenden Substanzen"
"T540","Toxische Wirkung: Phenol und dessen Homologe"
"T541","Toxische Wirkung: Sonstige ätzende organische Verbindungen"
"T542","Toxische Wirkung: Ätzende Säuren und säureähnliche Substanzen"
"T543","Toxische Wirkung: Ätzalkalien und alkaliähnliche Substanzen"
"T549","Toxische Wirkung: Ätzende Substanz, nicht näher bezeichnet"
"T55","Toxische Wirkung von Seifen und Detergenzien"
"T56","Toxische Wirkung von Metallen"
"T560","Toxische Wirkung: Blei und dessen Verbindungen"
"T561","Toxische Wirkung: Quecksilber und dessen Verbindungen"
"T562","Toxische Wirkung: Chrom und dessen Verbindungen"
"T563","Toxische Wirkung: Kadmium und dessen Verbindungen"
"T564","Toxische Wirkung: Kupfer und dessen Verbindungen"
"T565","Toxische Wirkung: Zink und dessen Verbindungen"
"T566","Toxische Wirkung: Zinn und dessen Verbindungen"
"T567","Toxische Wirkung: Beryllium und dessen Verbindungen"
"T568","Toxische Wirkung: Sonstige Metalle"
"T569","Toxische Wirkung: Metall, nicht näher bezeichnet"
"T57","Toxische Wirkung von sonstigen anorganischen Substanzen"
"T570","Toxische Wirkung: Arsen und dessen Verbindungen"
"T571","Toxische Wirkung: Phosphor und dessen Verbindungen"
"T572","Toxische Wirkung: Mangan und dessen Verbindungen"
"T573","Toxische Wirkung: Blausäure"
"T578","Toxische Wirkung: Sonstige näher bezeichnete anorganische Substanzen"
"T579","Toxische Wirkung: Anorganische Substanz, nicht näher bezeichnet"
"T58","Toxische Wirkung von Kohlenmonoxid"
"T59","Toxische Wirkung sonstiger Gase, Dämpfe oder sonstigen Rauches"
"T590","Toxische Wirkung: Stickstoffoxide"
"T591","Toxische Wirkung: Schwefeldioxid"
"T592","Toxische Wirkung: Formaldehyd"
"T593","Toxische Wirkung: Tränengas"
"T594","Toxische Wirkung: Chlorgas"
"T595","Toxische Wirkung: Fluorgas und Fluorwasserstoff"
"T596","Toxische Wirkung: Schwefelwasserstoff"
"T597","Toxische Wirkung: Kohlendioxid"
"T598","Toxische Wirkung: Sonstige näher bezeichnete Gase, Dämpfe oder sonstiger näher bezeichneter Rauch"
"T599","Toxische Wirkung: Gase, Dämpfe oder Rauch, nicht näher bezeichnet"
"T60","Toxische Wirkung von Schädlingsbekämpfungsmitteln [Pestiziden]"
"T600","Toxische Wirkung: Organophosphat- und Carbamat-Insektizide"
"T601","Toxische Wirkung: Halogenierte Insektizide"
"T602","Toxische Wirkung: Sonstige und nicht näher bezeichnete Insektizide"
"T603","Toxische Wirkung: Herbizide und Fungizide"
"T604","Toxische Wirkung: Rodentizide"
"T608","Toxische Wirkung: Sonstige Schädlingsbekämpfungsmittel"
"T609","Toxische Wirkung: Schädlingsbekämpfungsmittel, nicht näher bezeichnet"
"T61","Toxische Wirkung schädlicher Substanzen, die mit essbaren Meerestieren aufgenommen wurden"
"T610","Ciguatera-Fischvergiftung"
"T611","Scombroid-Fischvergiftung"
"T612","Sonstige Vergiftung durch Fische und Schalentiere"
"T618","Toxische Wirkung sonstiger essbarer Meerestiere"
"T619","Toxische Wirkung eines nicht näher bezeichneten essbaren Meerestieres"
"T62","Toxische Wirkung sonstiger schädlicher Substanzen, die mit der Nahrung aufgenommen wurden"
"T620","Toxische Wirkung: Verzehrte Pilze"
"T621","Toxische Wirkung: Verzehrte Beeren"
"T622","Toxische Wirkung: Sonstige verzehrte Pflanze(n) oder Teil(e) davon"
"T628","Toxische Wirkung: Sonstige näher bezeichnete schädliche Substanzen, die mit der Nahrung aufgenommen wurden"
"T629","Toxische Wirkung: Schädliche Substanz, die mit der Nahrung aufgenommen wurde, nicht näher bezeichnet"
"T63","Toxische Wirkung durch Kontakt mit giftigen Tieren"
"T630","Toxische Wirkung: Schlangengift"
"T631","Toxische Wirkung: Gift anderer Reptilien"
"T632","Toxische Wirkung: Skorpiongift"
"T633","Toxische Wirkung: Spinnengift"
"T634","Toxische Wirkung: Gift sonstiger Arthropoden"
"T635","Toxische Wirkung durch Kontakt mit Fischen"
"T636","Toxische Wirkung durch Kontakt mit sonstigen Meerestieren"
"T638","Toxische Wirkung durch Kontakt mit sonstigen giftigen Tieren"
"T639","Toxische Wirkung durch Kontakt mit einem nicht näher bezeichneten giftigen Tier"
"T64","Toxische Wirkung von Aflatoxin und sonstigem Mykotoxin in kontaminierten Lebensmitteln"
"T65","Toxische Wirkung sonstiger und nicht näher bezeichneter Substanzen"
"T650","Toxische Wirkung: Zyanide"
"T651","Toxische Wirkung: Strychnin und dessen Salze"
"T652","Toxische Wirkung: Tabak und Nikotin"
"T653","Toxische Wirkung: Nitro- und Aminoderivate von Benzol und dessen Homologen"
"T654","Toxische Wirkung: Schwefelkohlenstoff"
"T655","Toxische Wirkung: Glyzeroltrinitrat, Sauerstoffsäuren des Stickstoffs und deren Ester"
"T656","Toxische Wirkung: Farben und Farbstoffe, anderenorts nicht klassifiziert"
"T658","Toxische Wirkung sonstiger näher bezeichneter Substanzen"
"T659","Toxische Wirkung einer nicht näher bezeichneten Substanz"
"T66","Nicht näher bezeichnete Schäden durch Strahlung"
"T67","Schäden durch Hitze und Sonnenlicht"
"T670","Hitzschlag und Sonnenstich"
"T671","Hitzesynkope"
"T672","Hitzekrampf"
"T673","Hitzeerschöpfung durch Wasserverlust"
"T674","Hitzeerschöpfung durch Salzverlust"
"T675","Hitzeerschöpfung, nicht näher bezeichnet"
"T676","Passagere Hitzeermüdung"
"T677","Hitzeödem"
"T678","Sonstige Schäden durch Hitze und Sonnenlicht"
"T679","Schaden durch Hitze und Sonnenlicht, nicht näher bezeichnet"
"T68","Hypothermie"
"T69","Sonstige Schäden durch niedrige Temperatur"
"T690","Kälte-Nässe-Schaden der Hände oder Füße"
"T691","Frostbeulen"
"T698","Sonstige näher bezeichnete Schäden durch niedrige Temperatur"
"T699","Schaden durch niedrige Temperatur, nicht näher bezeichnet"
"T70","Schäden durch Luft- und Wasserdruck"
"T700","Barotrauma des Ohres"
"T701","Barotrauma der Nasennebenhöhlen"
"T702","Sonstige und nicht näher bezeichnete Schäden durch große Höhe"
"T703","Caissonkrankheit [Dekompressionskrankheit]"
"T704","Schäden durch Hochdruckflüssigkeiten"
"T708","Sonstige Schäden durch Luft- und Wasserdruck"
"T709","Schaden durch Luft- und Wasserdruck, nicht näher bezeichnet"
"T71","Erstickung"
"T73","Schäden durch sonstigen Mangel"
"T730","Schäden durch Hunger"
"T731","Schäden durch Durst"
"T732","Erschöpfung durch Ausgesetztsein (gegenüber Witterungsunbilden)"
"T733","Erschöpfung durch übermäßige Anstrengung"
"T738","Sonstige Schäden durch Mangel"
"T739","Schaden durch Mangel, nicht näher bezeichnet"
"T74","Missbrauch von Personen"
"T740","Vernachlässigen oder Imstichlassen"
"T741","Körperlicher Missbrauch"
"T742","Sexueller Missbrauch"
"T743","Psychischer Missbrauch"
"T748","Sonstige Formen des Missbrauchs von Personen"
"T749","Missbrauch von Personen, nicht näher bezeichnet"
"T75","Schäden durch sonstige äußere Ursachen"
"T750","Schäden durch Blitzschlag"
"T751","Ertrinken und nichttödliches Untertauchen"
"T752","Schäden durch Vibration"
"T753","Kinetose"
"T754","Schäden durch elektrischen Strom"
"T758","Sonstige näher bezeichnete Schäden durch sonstige äußere Ursachen"
"T76","Nicht näher bezeichnete Schäden durch äußere Ursachen"
"T78","Unerwünschte Nebenwirkungen, anderenorts nicht klassifiziert"
"T780","Anaphylaktischer Schock durch Nahrungsmittelunverträglichkeit"
"T781","Sonstige Nahrungsmittelunverträglichkeit, anderenorts nicht klassifiziert"
"T782","Anaphylaktischer Schock, nicht näher bezeichnet"
"T783","Angioneurotisches Ödem"
"T784","Allergie, nicht näher bezeichnet"
"T788","Sonstige unerwünschte Nebenwirkungen, anderenorts nicht klassifiziert"
"T789","Unerwünschte Nebenwirkung, nicht näher bezeichnet"
"T79","Bestimmte Frühkomplikationen eines Traumas, anderenorts nicht klassifiziert"
"T790","Luftembolie (traumatisch)"
"T791","Fettembolie (traumatisch)"
"T792","Traumatisch bedingte sekundäre oder rezidivierende Blutung"
"T793","Posttraumatische Wundinfektion, anderenorts nicht klassifiziert"
"T794","Traumatischer Schock"
"T795","Traumatische Anurie"
"T796","Traumatische Muskelischämie"
"T7960","Traumatische Muskelischämie der oberen Extremität"
"T7961","Traumatische Muskelischämie des Oberschenkels und der Hüfte"
"T7962","Traumatische Muskelischämie des Unterschenkels"
"T7963","Traumatische Muskelischämie des Fußes"
"T7968","Traumatische Muskelischämie sonstiger Lokalisation"
"T7969","Traumatische Muskelischämie nicht näher bezeichneter Lokalisation"
"T797","Traumatisches subkutanes Emphysem"
"T798","Sonstige Frühkomplikationen eines Traumas"
"T799","Nicht näher bezeichnete Frühkomplikation eines Traumas"
"T80","Komplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken"
"T800","Luftembolie nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken"
"T801","Gefäßkomplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken"
"T802","Infektionen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken"
"T803","AB0-Unverträglichkeitsreaktion"
"T804","Rh-Unverträglichkeitsreaktion"
"T805","Anaphylaktischer Schock durch Serum"
"T806","Sonstige Serumreaktionen"
"T808","Sonstige Komplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken"
"T809","Nicht näher bezeichnete Komplikation nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken"
"T81","Komplikationen bei Eingriffen, anderenorts nicht klassifiziert"
"T810","Blutung und Hämatom als Komplikation eines Eingriffes, anderenorts nicht klassifiziert"
"T811","Schock während oder als Folge eines Eingriffes, anderenorts nicht klassifiziert"
"T812","Versehentliche Stich- oder Risswunde während eines Eingriffes, anderenorts nicht klassifiziert"
"T813","Aufreißen einer Operationswunde, anderenorts nicht klassifiziert"
"T814","Infektion nach einem Eingriff, anderenorts nicht klassifiziert"
"T815","Fremdkörper, der versehentlich nach einem Eingriff in einer Körperhöhle oder Operationswunde zurückgeblieben ist"
"T816","Akute Reaktion auf eine während eines Eingriffes versehentlich zurückgebliebene Fremdsubstanz"
"T817","Gefäßkomplikationen nach einem Eingriff, anderenorts nicht klassifiziert"
"T818","Sonstige Komplikationen bei Eingriffen, anderenorts nicht klassifiziert"
"T819","Nicht näher bezeichnete Komplikation eines Eingriffes"
"T82","Komplikationen durch Prothesen, Implantate oder Transplantate im Herzen und in den Gefäßen"
"T820","Mechanische Komplikation durch eine Herzklappenprothese"
"T821","Mechanische Komplikation durch ein kardiales elektronisches Gerät"
"T822","Mechanische Komplikation durch Koronararterien-Bypass und Klappentransplantate"
"T823","Mechanische Komplikation durch sonstige Gefäßtransplantate"
"T824","Mechanische Komplikation durch Gefäßkatheter bei Dialyse"
"T825","Mechanische Komplikation durch sonstige Geräte und Implantate im Herzen und in den Gefäßen"
"T826","Infektion und entzündliche Reaktion durch eine Herzklappenprothese"
"T827","Infektion und entzündliche Reaktion durch sonstige Geräte, Implantate oder Transplantate im Herzen und in den Gefäßen"
"T828","Sonstige näher bezeichnete Komplikationen durch Prothesen, Implantate oder Transplantate im Herzen und in den Gefäßen"
"T829","Nicht näher bezeichnete Komplikation durch Prothese, Implantat oder Transplantat im Herzen und in den Gefäßen"
"T83","Komplikationen durch Prothesen, Implantate oder Transplantate im Urogenitaltrakt"
"T830","Mechanische Komplikation durch einen Harnwegskatheter (Verweilkatheter)"
"T831","Mechanische Komplikation durch sonstige Geräte oder Implantate im Harntrakt"
"T832","Mechanische Komplikation durch ein Harnorgantransplantat"
"T833","Mechanische Komplikation durch ein Intrauterinpessar"
"T834","Mechanische Komplikation durch sonstige Prothesen, Implantate oder Transplantate im Genitaltrakt"
"T835","Infektion und entzündliche Reaktion durch Prothese, Implantat oder Transplantat im Harntrakt"
"T836","Infektion und entzündliche Reaktion durch Prothese, Implantat oder Transplantat im Genitaltrakt"
"T838","Sonstige Komplikationen durch Prothesen, Implantate oder Transplantate im Urogenitaltrakt"
"T839","Nicht näher bezeichnete Komplikation durch Prothese, Implantat oder Transplantat im Urogenitaltrakt"
"T84","Komplikationen durch orthopädische Endoprothesen, Implantate oder Transplantate"
"T840","Mechanische Komplikation durch eine Gelenkendoprothese"
"T8400","Mechanische Komplikation durch eine Gelenkendoprothese: Schultergelenk"
"T8401","Mechanische Komplikation durch eine Gelenkendoprothese: Ellenbogengelenk"
"T8402","Mechanische Komplikation durch eine Gelenkendoprothese: Radiuskopfgelenk"
"T8403","Mechanische Komplikation durch eine Gelenkendoprothese: Handgelenk"
"T8404","Mechanische Komplikation durch eine Gelenkendoprothese: Hüftgelenk"
"T8405","Mechanische Komplikation durch eine Gelenkendoprothese: Kniegelenk"
"T8406","Mechanische Komplikation durch eine Gelenkendoprothese: Sprunggelenk"
"T8407","Mechanische Komplikation durch eine Gelenkendoprothese: Bandscheibe"
"T8408","Mechanische Komplikation durch eine Gelenkendoprothese: Sonstige näher bezeichnete Gelenke"
"T841","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen"
"T8410","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen: Schulterregion"
"T8411","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen: Oberarm"
"T8412","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen: Unterarm"
"T8413","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen: Hand"
"T8414","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen: Beckenregion und Oberschenkel"
"T8415","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen: Unterschenkel"
"T8416","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen: Knöchel und Fuß"
"T8418","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen: Sonstige näher bezeichnete Extremitätenknochen"
"T842","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an sonstigen Knochen"
"T8420","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an sonstigen Knochen: Wirbelsäule"
"T8428","Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an sonstigen Knochen: Sonstige näher bezeichnete Knochen"
"T843","Mechanische Komplikation durch sonstige Knochengeräte, -implantate oder -transplantate"
"T844","Mechanische Komplikation durch sonstige intern verwendete orthopädische Geräte, Implantate und Transplantate"
"T845","Infektion und entzündliche Reaktion durch eine Gelenkendoprothese"
"T846","Infektion und entzündliche Reaktion durch eine interne Osteosynthesevorrichtung [jede Lokalisation]"
"T847","Infektion und entzündliche Reaktion durch sonstige orthopädische Endoprothesen, Implantate oder Transplantate"
"T848","Sonstige Komplikationen durch orthopädische Endoprothesen, Implantate oder Transplantate"
"T849","Nicht näher bezeichnete Komplikation durch orthopädische Endoprothese, Implantat oder Transplantat"
"T85","Komplikationen durch sonstige interne Prothesen, Implantate oder Transplantate"
"T850","Mechanische Komplikation durch einen ventrikulären, intrakraniellen Shunt"
"T851","Mechanische Komplikation durch einen implantierten elektronischen Stimulator des Nervensystems"
"T852","Mechanische Komplikation durch eine intraokulare Linse"
"T853","Mechanische Komplikation durch sonstige Augenprothesen, -implantate oder -transplantate"
"T854","Mechanische Komplikation durch Mammaprothese oder -implantat"
"T855","Mechanische Komplikation durch gastrointestinale Prothesen, Implantate oder Transplantate"
"T8550","Mechanische Komplikation durch Prothesen, Implantate oder Transplantate im Ösophagus"
"T8551","Mechanische Komplikation durch Prothesen, Implantate oder Transplantate im sonstigen oberen Gastrointestinaltrakt"
"T8552","Mechanische Komplikation durch Prothesen, Implantate oder Transplantate im unteren Gastrointestinaltrakt"
"T8553","Mechanische Komplikation durch Prothesen, Implantate oder Transplantate in den Gallenwegen"
"T8554","Mechanische Komplikation durch Prothesen, Implantate oder Transplantate im Pankreas"
"T8559","Mechanische Komplikation durch gastrointestinale Prothesen, Implantate oder Transplantate, Lokalisation nicht näher bezeichnet"
"T856","Mechanische Komplikation durch sonstige näher bezeichnete interne Prothesen, Implantate oder Transplantate"
"T857","Infektion und entzündliche Reaktion durch sonstige interne Prothesen, Implantate oder Transplantate"
"T8571","Infektion und entzündliche Reaktion durch Katheter zur Peritonealdialyse"
"T8572","Infektion und entzündliche Reaktion durch interne Prothesen, Implantate oder Transplantate im Nervensystem"
"T8573","Infektion und entzündliche Reaktion durch Mammaprothese oder -implantat"
"T8574","Infektion und entzündliche Reaktion durch perkutan-endoskopische Gastrostomie-Sonde [PEG-Sonde]"
"T8575","Infektion und entzündliche Reaktion durch interne Prothesen, Implantate oder Transplantate im hepatobiliären System und im Pankreas"
"T8576","Infektion und entzündliche Reaktion durch sonstige interne Prothesen, Implantate oder Transplantate im sonstigen Gastrointestinaltrakt"
